On New Site Now,On Old Site,Industry,Family,Product ID,Product Name,Chemistry,Applications,Benefits,Size ,Color,Cleanup,Recommended Equipment,TDS Data Table,Need 3D Image Now
,,Industrial,ForzaBOND,C830,Plastic Adhesive,NA,"* Designed for bonding vinyl to many different substrates 
* Ideal for bonding rubber to many different substrates","• Excellent coverage.
• Adheres to vinyl, nylon, PVC, and various rubbers.
• Excellent flexilbity.","*  1 Gallon
*  5 Gallon Pail
*  52 Gallon Drum",,,,,
,,Industrial,ForzaBOND,C835,Fabrication Adhesive,NA,* Specially designed for use in fabricating abrasives  ,"• Remains flexible after cured
• Non-tacky final state
• Soft, durable bonds","*  5 Gallon Pail
*  55 Gallon Drum",,,,,
Yes,Yes,Industrial,ForzaBOND,CA1000,Instant Adhesive,Cyanoacrylates,"* Designed for bonding instantly a variety of dissimilar materials 
* Designed for bonding where impact resistance is a necessity
* Designed for bonding where durability under heat aging is required 
* Designed for bonding where overall strong thermocycling performance is required ",Already on New Site,*  4.4 Pounds,,,,,
,Yes,Industrial,ForzaBOND,CA1500,Instant Adhesive,Cyanoacrylates,"* Formulated to bond both similar and dissimilar materials. 
* Ideal for applications that require rapid curing, dry parts, & acidic parts
* Designed for use in applications where handling strength is needed in under 10 seconds","*  Instant Bond
*  High Impact Resistance
*  Excellent Heat Aging Properties
*  High Heat Resistance",*  1 Pound,,,,,
,Yes,Industrial,ForzaBOND,CA2400,Instant Adhesive,Cyanoacrylates,"* Formulated to bond both similar and dissimilar materials. 
* Ideal for applications that require rapid curing, dry parts, & acidic parts
* Designed for use in applications where handling strength is needed in under 10 seconds","*  Instant Bond
*  High Impact Resistance
*  Excellent Heat Aging Properties
*  High Heat Resistance",*  1 Pound,,,,,
,,Industrial,ForzaCLEAN,FC-CAR,Citrus Adhesive Remover / Cleaner,Solvent Based,"• Designed to safely and powerfully remove adhesives and other tough substances across all industries and most surfaces including most plastic surfaces. 
• Removes adhesive residue from guns, hoses, and other adhesive equipment. 
• Removes decal residue and is safe to use on most powder-coated surfaces.
• Helps removes adhesive over-spray in application","• Powerful, bio-safe, solvent cleaner degreaser, and adhesive remover
• Non-corrosive
• Compatible with most plastics
• Biodegradable
• Safer solution than most other industry standard removers
• Pleasant citrus scent","*  13oz Aerosol Can
*  22L Disposable Canister",,,,,
Yes,Yes,Industrial,ForzaBOND,FRP,Hybrid Polymer Rollable Adhesive,???,"*  FRP modified silane rollable flooring adhesive is a high-performance adhesive that is specifically designed to bond a variety of substrates, including metal flooring, plywood, and vinyls.
*  FRP adhesive is ideal for use in refrigerated and walk-in coolers, as it is able to withstand the extreme temperatures and conditions found in these environments. ","*  Excellent bonding properties to a variety of substrates, including metal flooring, plywood, and vinyls 
*  Can be used in refrigerated and walk-in coolers 
*  Can withstand extreme temperatures and conditions 
*  High solids content for excellent coverage and reduced shrinkage 
*  Easy to apply and rollable 
*  Tack-free time of 2-4 hours 
*  Short cure time of 24-48 hours 
*  High shear and peel strength for maximum durability ","*  28 oz
*  20 oz
*  5 Gallon
*  55 Gallon",,,,,
,,Industrial,ForzaBOND,H103,Hot Melt Adhesive,NA,"* Bonds foam to foam
* Bonds board stock and other materials 
* Suited for applications requiring either extrusion, roll coating or spraying","• Exceptional heat stability
• Low viscosity
• Aggressive tack
• Long open times
• Good for regular temp 350ºF usage
• Meets FDA food packaging 21 CFR 175.105 standard",*  25 lbs / case (net),,,,,
,,Industrial,ForzaBOND,H117,Hot Melt Adhesive,NA,"* Ideal for most packaging and assembly applications 
* Best suited for medium speed operations on 
coated surfaces
* Also, suitable for numerous product assembly applications requiring a 
longer open time adhesive","• Medium set
• Long open time
• Aggressive tack
• Excellent Adhesion
• Good heat stability
• Great high and low temperature bond performance",*  40 lbs / case (net),,,,,
,,Industrial,ForzaBOND,H158,Hot Melt Adhesive,NA,"* Designed to adhere plain paper, corrugated paper, & packaging materials
* Designed for use in Food Packaging applications (meets FDA guidelines)","• Fast setting
• Excellent hot tack
• Short open time
• Meets FDA Food Packaging Requirements 21 CFR 175.105",*  5/8in x 8in Sticks,,,,,
,,Industrial,ForzaBOND,H163,Hot Melt Adhesive,NA,"* Designed to adhere to nearly any surface 
* Ideal for box assembly with hand held hot melt guns 
* Used for assembly of drawer bottoms, cabinet backs, miter folding, etc","• Fast setting
• Meets FDA Food Packaging Requirements 21 CFR 175.105
• Fast setting on other fibrous material
• 15 second open time","*  POLY
*  MAX
*  SS",,,,,
,,Industrial,ForzaBOND,H164,Hot Melt Adhesive,NA,"* Designed to aggressively adhere to nearly any surface
* Ideal for box assembly with hand held hot melt guns  
* Well suited for assembly of drawer bottoms, cabinet backs, 
& miter folding, etc","• Bonds variety of surfaces including porous and non-porous materials.
• Good for either low temp 250ºF or regular temp 380ºF
• Meets FDA Food Packaging Requirements 21 CFR 175.105","*  PEL
*  MAX
*  SS
*  TC",,,,,
,,Industrial,ForzaBOND,H167,Hot Melt Adhesive,NA,"* Designed to aggressively adhere to nearly any surface
* Ideal for bonding Wood and Melamine
* Excellent at bonding diffcult coated papers
* Well suited for bonding electric potting/encapsulating","• Good adhesion to metals, plastics, ceramics, coated paper, melamine, and other non-porous surfaces.
• Good resistance to show at low and ambient temperatures.
• 25 second open time
• Meets FDA Food Packaging Requirements 21 CFR 175.105","*  PEL
*  PT
*  SS",,,,,
,,Industrial,ForzaBOND,H176,Hot Melt Adhesive,NA,"* Designed to bond case & carton sealing, & tray forming  
* Ideal for sealing polystyrene foam and polyethylene foam","• Bonds well to a wide variety of board, paper stock, and foam.
• Excellent heat stability
• Low viscosity
• Aggressive tack
• Meets federal regulation 21 CFR 175.105",*  25 lbs,,,,,
,,Industrial,ForzaBOND,I1000,Low-Medium Viscosity Laminating Adhesive,???,"*  For use in operations such as faced insulation manufacturing.
*  Quick tack laminating","*  Fast drying.
*  Excellent fiber-tearing bonds.
*  Excellent coverage - 600 sq ft per gallon.
*  Strong and durable bond.
*  UL723 Certification","*  5 Gallon Pail
*  55 Gallon Drum
*  Tote",,,,,
,,Industrial,ForzaBOND,IC2400,???,???,???,???,???,,,,,
Yes,Yes,Industrial,ForzaBOND,IC932,Non Flammable Not-Methylene Chloride Contact Adhesive,Solvent Based,"Permanently bonds to: 
• Plastics
• Metals
• Marine Grade/Treated Wood
• Foam of all types
• Fabric
• Porous Insulation Materials
• Backed Vinyls
• Plastic Laminates
• Adhesion promoter (Urethane Foaming Application)",Already on New Site,"*  22L Disposable Canister 
*  108L Returnable Canister ",,,,,
Yes,Yes,Industrial,ForzaBOND,IC933,CA Compliant High Strength Contact Adhesive,Solvent Based,"Permanently bonds to:
• Carpeting including metal, wood, and composites.
• Head liner to interiors.
• Foam in upholstery and seating.
• Plastic laminate in wood working.
• Porous Insulation
• Acoustic Material",Already on New Site,"*  13oz Aerosol Can
*  22L Disposable Canister
*  108L Returnable Canister
*  5 Gal Pail
*  55 Gal Drum",,,,,
Yes,Yes,Industrial,ForzaBOND,IC934,Styrene Safe Pressure Sensitive Spray Adhesive,Solvent Based,"Pressure sensitive adhesive that permanently bonds to:
• Applications involving Polystyrene Foam 
• Insulation Materials
• Acoustic Materials
• Foam Bonding",Already on New Site,"*  13oz Aerosol Can
*  22L Disposable Canister
*  108L Returnable Canister",,,,,
,,Industrial,ForzaBOND,IC936,CA Compliant Multi-Purpose Web Spray Canister Adhesive,Solvent Based,"A multi-purpose, low VOC contact adhesive that effectively bonds a vast range of substrates 
 ","• Excellent bonding to porous substrates 
• Aggressive - bonds to nearly any surface 
• Good heat resistance (up to 180ºF / 82º C) 
• High-strength, long-term bond 
• Low VOC & California Compliant (SCAQMD Rule 1168)","*  13oz Aerosol Can
*  22L Disposable Canister
*  108L Returnable Canister",,,,,
Yes,Yes,Industrial,ForzaBOND,IC946,CA Compliant Pressure-Sensitive Adhesive,Solvent Based,"Designed to bond numerous substrates including these: 
• Insulation Materials
• Metals
• Aluminum
• Foam
• Wood
• Fabric",Already on New Site,"*  13oz Aerosol Can
*  22L Disposable Canister
*  108L Returnable Canister",,,,,
Yes,Yes,Industrial,ForzaBOND,IC947,High-Temp Styrene-Safe Pressure Sensitive Adhesive,Solvent Based,"Web spray adhesive designed for applications using:
• Polystyrene
• Foam of all types
• Flooring product
• Carpeting
• Vinyls (backed)
• Insulation
• Wood
• Fabrics
• Acoustic materials",Already on New Site,"*  22L Disposable Canister
*  108L Returnable Canister",,,,,
,,Industrial,ForzaBOND,IC951,"CA Compliant, Multi-purpose, Low HAPs, Contact Adhesive",Solvent Based,"Permanently bonds to:
• Carpeting to metal, wood, and composites 
• Foam in upholstery and seating 
• Plastic laminate in wood working","• Excellent bonding to porous substrates 
• Aggressive - bonds to nearly any surface 
• Good heat resistance (up to 180ºF/82ºC) 
• High-strenth, long-term bond 
• Low VOC & California Compliant (SCAQMD Rule 1168)
• Low HAPs formula","*  22L Disposable Canister
*  108L Returnable Canister",,,,,
,,Industrial,ForzaBOND,IC952,Contact Spray Adhesive,Solvent Based,"Portable, spray adhesive system designed for field and shop applications including:
• High-strength bonding across numerous substrates
• Zero telegraphing through substrates","• Excellent Heat Resistance
• Quick Tack
• Snow flake pattern
• Low VOC Formulation
• 100% Adhesive Transfer to substrate
• Fully Portable System
• Fast Dry Time
• Post-Formable
• California Compliant","*  22L Disposable Canister
*  108L Returnable Canister",,,,,
,,Industrial,ForzaBOND,IC955NF,Pressure Sensitive Water-Based Adhesive,Solvent Based,"Designed for applications requiring laminating and fixturing various porous materials such as fabrics, insulation, foams and other porous materials.","• 0 VOC
• Fast and efficient applicator
• Bonds a wide variety of substrates
• Fast and aggressive tack
• Self contained and portable",*  22L Disposable Canister ,,,,,
Yes,Yes,Industrial,ForzaBOND,OA12,High Green Strength Mounting Adhesive,Modified Silane,"Ideal for use in a wide range of applications where high strength and 
immediate adhesion is necessary including: 
* Construction and Marine sectors 
* Trucking & Transport, & Manufacturing ",Already on New Site,"*  10.1oz Cartridge
*  28 oz Cartridge
*  20 oz Sausage",,,,,
Yes,Yes,Industrial,ForzaBOND,OA13,High Green Strength Mounting Adhesive,Modified Silane,"Ideal for use in a wide range of applications where high strength and 
immediate adhesion is necessary including: 
* Construction and Marine sectors 
* Trucking & Transport, & Manufacturing ",Already on New Site,"*  10.1oz Cartridge
*  20oz Sausage
*  28oz Cartridge
*  52 Gallon Drum",,,,,
Yes,Yes,Industrial,ForzaBOND,OA23,Hybrid Polymer Fast Grab Adhesive,Modified Silane,"Ideal for use in a wide range of applications where high strength and 
immediate adhesion is necessary including: 
* Construction and Marine sectors 
* Trucking & Transport, & Manufacturing ",Already on New Site,"*  10.1 oz Cartridge
*  28 oz Cartridge
*  20 oz Sausage",,,,,
,,Industrial,ForzaSEAL,OA28,Rollable Panel Adhesive,Modified Silane,"* Designed for installing fiber reinforced plastic, 
plastic laminate, wainscoting, and other wall coverings over 
many common porous and non-porous surfaces.
* Compatible with wood, foam board, plastic, laminate, 
plywood, tub surrounds, metal, concrete vinyl, and 
non-porous building materials","• Rollable Adhesive
• Universal Application
• Can be adhered immediately
• Will not attack mudded joints
• Environmentally safe
• Fast strength development
• Nonflammable
• Moisture, mold & mildew resistant
• Strong, fast grab
• Water-resistant bond
• Odorless
• VOC-Compliant","*  1 Gallon
*  3.5 Gallon  
*  5 Gallon  ",,,,,
,,Industrial,ForzaSEAL,OA29,Trowelable Panel Adhesive,Modified Silane,"* Specifically designed for installing fiber reinforced plastic, 
plastic laminate, wainscoting, and other wall coverings over 
many common porous and non-porous surfaces.
* Compatible with wood, foam board, plastic, laminate, 
plywood, tub surrounds, metal, concrete vinyl, and 
non-porous building material","• Trowelable Adhesive
• Universal Application
• Can be adhered immediately
• Will not soften drywall joints
• Environmentally safe
• Fast strength development
• Nonflammable
• Moisture, mold & mildew resistant
• Strong, fast grab
• Water-resistant bond
• Odorless
• VOC-Compliant","*  1 Gallon
*  3.5 Gallon  
*  5 Gallon  ",,,,,
Yes,Yes,Industrial,ForzaBOND,OA4,Hybrid Polymer High-Strength Adhesive / Sealant,Modified Silane,"Ideally suited where permanently flexible and/or structural bonding is required. It bonds a large variety of materials including:
• Aluminum, Brass, Steel
• Granite, Wood
• Many Plastics
• General purpose bonding on both interior and exterior applications",Already on New Site,"*  10.1 oz Cartridge
*  20 oz Sausage
*  28 oz Cartridge
*  5 Gallon Pail
*  52 Gallon Drum",,,,,
,,Industrial,ForzaSEAL,OA75,Trowelable Flooring Adhesive,???,"For use in applications requiring bonding fiberglass, plastic, and many other sustrates","*  Easy application 
*  Ultra-Low V.O.C. formula 
*  High bond strength 
*  Strong wet/ green grab 
*  Minimal shrinkage and nonslump for superior contact 
*  High elastomeric properties","*  1 Gallon
",,,,,
,,Industrial,ForzaBOND,OA99,Contact Adhesive,???,???,???,???,,,,,
Yes,Yes,Industrial,ForzaSEAL,OS10,Performance Polymer,Modified Silane,"Seals a large variety of materials including: 
* concrete, brick, aluminum
* brass, steel, glass, granite 
* wood and many plastics
* Ideal for applications requiring permanent flexible and extreme durability
* Safe for use in applications involving polystyrene foam board 
* Ideal for applications requiring California Regulatory Compliance  ",Already on New Site,"*  10.1oz Cartridge
*  28oz Cartridge
*  20oz Sausage
*  5 Gallon Pail
*  52 Gallon Drum",,,,,
Yes,Yes,Industrial,ForzaSEAL,OS2,Multi-Purpose Hybrid Polymer Sealant,Modified Silane,"Seals a large variety of materials including: 
* concrete, brick, aluminum
* brass, steel, glass, granite 
* wood and many plastics
* Ideal for applications requiring permanent flexible and extreme durability
* Safe for use in applications involving polystyrene foam board 
* Ideal for applications requiring California Regulatory Compliance  ",Already on New Site,"*  10.1oz Cartridge
*  28oz Cartridge
*  20oz Sausage
*  5 Gallon Pail
*  52 Gallon Drum",,,,,
,,Industrial,ForzaSEAL,OS2 WT,Multi-Purpose Hybrid Polymer Sealant,Modified Silane,"Seals a large variety of materials including: 
* concrete, brick, aluminum
* brass, steel, glass, granite 
* wood and many plastics
* Ideal for applications requiring permanent flexible and extreme durability
* Safe for use in applications involving polystyrene foam board 
* Ideal for applications requiring California Regulatory Compliance  ","*  Retains strong bond through impact, peel, flex and changing temperature 
*  Easily apply by extrusion or trowel 
*  Non-yellowing 
*  Does not form bubbles, shrink or crack 
*  Highly weather resistant 
*  Immediately paintable applications 
*  Semi Self-Leveling 
*  Low temperature flexibility (properties retained to -75° F) 
*  High UV resistance 
*  Doesn’t attract dust or dirt ","*  10.1oz Cartridge
*  28oz Cartridge
*  20oz Sausage
*  5 Gallon Pail
*  52 Gallon Drum",,,,,
Yes,Yes,Industrial,ForzaSEAL,OS20,High-Strength Hybrid Polymer Adhesive/Sealnt,Modified Silane,"Seals a large variety of materials including: 
* concrete, brick, aluminum
* brass, steel, glass, granite 
* wood and many plastics
* Ideal for applications requiring permanent flexible and extreme durability
* Safe for use in applications involving polystyrene foam board ",Already on New Site,"*  10.1oz Cartridge
*  28oz Cartridge
*  20oz Sausage
*  5 Gallon Pail
*  52 Gallon Drum",,,,,
Yes,Yes,Industrial,ForzaSEAL,OS24,Ultra High-Strength Hybrid Polymer Structural Ahesive ,Modified Silane,"Ideal for interior and exterior applications requiring permanent structural bonding. Bonds a large variety of materials including:
• All Metals, Painted Steel, Glass
• Granite, Wood, Most Plastics
• Fiberglass, Rubber
• Polystyrene Foam",Already on New Site,"*  10.1 oz Cartridge
*  20 oz Sausage",,,,,
Yes,Yes,Industrial,ForzaSEAL,OS25,Low Modulus Performance Polymer,Modified Silane,Designed to seal a wide variety of substrate materials and joints in applications where extreme flexibility is needed.,Already on New Site,"*  10.1oz Cartridge
*  28oz Cartridge
*  20oz Sausage",,,,,
,Yes,Industrial,ForzaSEAL,OS31,Self-Leveling Hybrid Polymer Sealant,Modified Silane,???,???,???,,,,,
,Yes,Industrial,ForzaSEAL,OS35,Single Component Silicone Sealant,Silicone,"A netural-cure oxime silicone sealant designed to offer strong reliable sealing to a variety of applications including:
* Ceramic Tile, Acrylic, PVC, ABS
* Fiberglass, Wood & Masonry","*  High weather resistant
*  Multi-surface bond
*  Single components RTV (Room Temperature Vulcanizing, Anti-fungal properties
*  Can be applied to overhead or vertical joints
*  Excellent UV resistance, does not crack or collapse in direct sunlight ","*  10.1oz Cartridge
*  20oz Sausage
*  2 Gallon Pail
*  5 Gallon Pail
*  55 Gallon Drum",,,,,
,Yes,Industrial,ForzaSEAL,OS37,Acetoxy Silicone,Silicone,"Moisture cure acetoxy silicone sealant designed to reliably seal a variety of substrates in a variety of applications including:
• Ceramic Tile
• Glass
• Some Metals and Plastics","*  Ceramic Tile
*  Glass
*  Some Metals and Plastics","*  10.1oz Cartridge
*  20oz Sausage
*  2 Gallon Pail
*  5 Gallon Pail
*  55 Gallon Drum",,,,,
,,Industrial,ForzaSEAL,OS45,Silicone Sealant,Silicone,"Used for joint, seam and crack sealing. Bonds applications across a wide variety of industries, including marine, transportation and home applications. ","• Anti-fungal
• Chemical, water and UV resistant
• Permanently elastic
• Excellent workability",* 290ml Cartridge,,,,,
,,Industrial,ForzaSEAL,OS55,Silicone Sealant,Silicone,"General-purpose silicone sealant for construction applications, including:
• Most sealing applications in heavy-duty construction and DIY projects
• Sealing around windows and doors
• Kitchen and bath applications
• Concrete void filling including driveway seems and crack","• Excellent UV resistance, Does not crack, collapse in direct sunlight
• Multi-purpose
• Single Component RTV (Room Temperature Vulcanizing), Anti-fungal properties
• Can be applied to overhead or vertical joints
• Bonds many surfaces: Clean metal-including chrome, painted surfaces, glasses, ceramics, most plastics, non-oily woods, fibrous cement and concrete surfaces
• Di-electrical properties & FDA (Food Grade) Compliant. Sealing of solar panels & junction boxes","*  10.1 oz Cartridge
*  20 oz Sausage",,,,,
,Yes,Industrial,ForzaSEAL,OS61,High-Performance Semi Self-Leveling Polymer Sealant,Modified Silane,"Designed to seal a wide variety of materials such as: 
* Glass, Steel, Aluminum
* Marble, Concrete, Wood
* Most plastics ","*  Self-leveling
*  Weather resistant
*  UV resistant
*  Non-yellowing
*  Flexible","*  10.1oz Cartridge
*  28oz Cartridge
*  20oz Sausage
*  5 Gallon Pail",,,,,
,Yes,Industrial,ForzaBOND,OSA,Adhesive Primer and Promoter,Solvent Based,"Used to promote adhesion in applications that include: painted surfaces, bare metals, and plastics","*  Low odor 
*  Fast drying 
*  Promotes adhesion to difficult substrates 
*  Easy wipe on format 
*  Reduces grease and oils ","*  2 oz
*  1 Quart Can
*  Custom Sizes Available",,,,,
,Yes,Industrial,ForzaBOND,R160,Two-Part 5-Minute Epoxy ,Epoxy,"Used in applications that benifit from a tenacious bond with wood, concrete, fiberglass, and most thermoset plastics. This includes: 
* Carpet tack strip to concrete, metal, wood, and various other floor surfaces. Carpet may be stretched as soon as 20 minutes after application. 
* Also bonds metal balusters in wood hand rails ","*  1:1 ratio, easy mixing or dispensing
*  3 minute work life, 8 minute handling strength
*  -60º to 250º F service temperature
*  Resistant to water, salt, vehicle fuels and fluids, and many other substances","*  280 ml Cartridge
*  5 Gallon
*  55 Gallon Drum
*  50 ml Cartridge",,,,,
,,Industrial,ForzaBOND,R190,Two-Part Epoxy Adhesive ,Epoxy,"Made for applications that require bonding to metal, wood, iron, porcelain, fiberglass, polystyrene","• Excellent resistance to Dynamic loads (vibrations and impacts).
• Good Mechanical properties. 
• Moisture resistant","*  280 ml Cartridge
*  5 Gallon
*  55 Gallon Drum
*  50 ml Cartridge",,,,,
,Yes,Industrial,ForzaBOND,R221,Two-Part 1:1 Modified Epoxy Adhesive,Modified Epoxy,"* Ideal for applications requiring the structural bonding of metals and other various materials in panel assembly. 
* Also suitable for structural bonding where a flixible bond line is desired including these substrates: 
* Wood, Ceramics, Composites, Concrete, and FRP, and combinations of these materials ","*  1:1 ratio, easy mixing/ dispensing
*  Minimal surface preparation required
*  -75ºF to 400ºF service temp
*  Retains flexible bond line, out performs most “brittle” two part adhesives
*  Light stable and UV resistant
*  Paintable
*  OVOC
*  Generates no heat
*  100% solids no shrinking","*  400 ml Cartridge
*  5 Gallon Pail
*  52 Gallon Drum",,,,,
,Yes,Industrial,ForzaBOND,R519,Two-Part Methacrylate Adhesive,Methacrylate/MMA,"Ideal for applications requiring the bonding of engineered thermoplastics, thermosets, composites, and metal structural elements in any combination. 
It is also ideally suited to bond a wide variety of rubber materials and a vast range of metals without the need for surface preparation, primers, or chemical wipes. 
Additionally, it is highly effective in applications requiring bonding composites and bonding other substrates","*  Excellent bonding to a wide variety of substrates
*  1:1 ratio – easy mixing or dispensing
*  Minimal surface preparation required
*  Excellent bond strength
*  Forms tough, high strength, high impact resistant bonds
*  Resists most common industrial cleaners, fuels, lubricants and environmental conditions
*  Impact and weather resistant
*  Retains bond strength in boiling water, salt water, salt fog, kerosene, gasoline, diesel fuel, antifreeze, hydraulic fluids and cutting oils","*  50 ml Cartridge
*  400 ml Cartridge
*  5 Gallon
*  52 Gallon Drum",,,,,
,,Industrial,ForzaBOND,R529,Structural Anchoring Epoxy,???,???,???,???,,,,,
,Yes,Industrial,ForzaBOND,S228,Tape Adhesive Primer and Promoter,Solvent Based,"Increases adhesion in applications with high bond tapes and other adhesives.
Improves adhesion in applications with these substrates: polyethylene, polypropylene, glass, metal, and painted surfaces.","*  Increases adhesive performance on polyethylene, polypropylene and TPR
*  Also useful on other plastics, rubber & metals
*  Removes grease and oils to promote adhesion","*  1 Quart
*  1 Gallon
*  5 Gallon",,,,,
,,Industrial,ForzaTAPE,T103,???,???,???,???,???,,,,,
,,Industrial,ForzaTAPE,T205,Double-Coated Ultra High Bond Acrylic Foam Tape,Acrylic Foam,"Bonds plastics, metals, woods, papers, and silicones used in the automotive, electronics, advertising, hardware, andconstruction industries where permanent flexibility is needed. Ideal for replacing screws, rivets, and welding in trailer side skin applications. Use with Forza S228 Adhesive Primer for best results. ","• High performance double sided pressure sensitive adhesive tape
• Conformable
• Easy to die-cut
• Unique visco-elastic nature ensures a strong bond which can absorb shocks and stress
• 1.6mm thick
• Long-lasting bond for indoor and outdoor applications
• The adhesives have an excellent solvent plasticizer, and moisture resistance
• Slitted on request
• 100% closed cell structure","*  .5 x 108
*  .25 x 108
*  .75 x 108
*  .375 x 108
*  1 x 108
*  1.5 x 108
*  2 x 108
*  3.125 x 108
*  Custom Sizes Available",,,,,
,Yes,Industrial,ForzaTAPE,T215,Ultra High-Bond Acrylic Foam Tape,Acrylic Foam,"* Bonds plastics, metals, woods, papers, and silicones used in the automotive, electronics, advertising, hardware, and construction industries where permanent flexibility is needed. 
* Ideal for replacing screws, rivets, and welding in trailer side skin applications.  ","*  .045? Thick Foam
*  Can withstand a wide range of weathering and temperature conditions without losing adhesion 
*  Replaces screw, riveting and welding 
*  High strength bond resists moisture, chemicals, dust and UV 
*  Very flexible, with elongation rate of 800% 
*  Instant high strength; bonds well to many surfaces 
*  Maintains adhesion at subzero temperatures 
*  Long aging, resists hardening or embrittlement 
*  Flexible and compressible 
*  Shockproof and soundproof characteristics","*  .5 x 108
*  .25 x 108
*  .75 x 108
*  .375 x 108
*  1 x 108
*  1.5 x 108
*  2 x 108
*  3.125 x 108
*  Custom Sizes Available",,,,,
